ID,Is_Product_Details_viewed,Session_Activity_Count,No_Items_Added_InCart,No_Items_Removed_FromCart,No_Cart_Viewed,No_Checkout_Confirmed,No_Checkout_Initiated,No_Cart_Items_Viewed,No_Customer_Login,No_Page_Viewed,Customer_Segment_Type,Cart_Abandoned,Checkout_Conversion_Rate,Browsing_Intensity
Session_ID_0,1,4,1.0,0,0.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_1,0,38,0.0,0,2.0,0,0,2,0,2,0,1,0.0,0.05128205128205128
Session_ID_2,0,8,5.0,0,0.0,1,1,1,0,0,1,0,0.5,0.0
Session_ID_3,0,6,0.0,0,2.0,0,0,4,0,0,0,1,0.0,0.0
Session_ID_4,1,31,14.0,12,1.0,0,0,4,0,0,2,1,0.0,0.0
Session_ID_5,1,13,6.0,0,0.0,0,1,1,0,5,1,1,0.0,0.35714285714285715
Session_ID_6,0,14,4.0,1,0.0,1,1,1,0,0,1,0,0.5,0.0
Session_ID_7,0,7,1.0,0,0.0,0,1,1,0,3,0,1,0.0,0.375
Session_ID_8,0,13,8.0,1,0.0,0,0,1,0,1,1,1,0.0,0.07142857142857142
Session_ID_9,0,17,4.0,1,0.0,1,2,2,1,1,1,0,0.3333333333333333,0.05555555555555555
Session_ID_10,0,20,5.0,10,0.0,0,0,1,0,2,2,1,0.0,0.09523809523809523
Session_ID_11,0,8,0.0,0,0.0,0,2,1,0,4,1,1,0.0,0.4444444444444444
Session_ID_12,0,9,0.0,0,0.0,0,1,4,0,1,1,1,0.0,0.1
Session_ID_13,1,8,0.0,0,0.0,0,1,2,0,1,1,1,0.0,0.1111111111111111
Session_ID_14,0,3,0.0,0,0.0,0,1,2,0,0,1,1,0.0,0.0
Session_ID_15,0,31,0.0,0,0.0,0,7,13,0,3,1,1,0.0,0.09375
Session_ID_16,1,6,0.0,1,0.0,0,0,1,0,1,1,1,0.0,0.14285714285714285
Session_ID_17,1,7,0.0,0,2.0,0,1,3,0,0,1,1,0.0,0.0
Session_ID_18,0,35,0.0,8,6.0,0,2,1,1,9,2,1,0.0,0.25
Session_ID_19,0,8,0.0,0,0.0,0,0,2,0,3,1,1,0.0,0.3333333333333333
Session_ID_20,1,6,3.0,0,0.0,0,0,1,0,1,1,1,0.0,0.14285714285714285
Session_ID_21,0,35,14.0,0,3.0,1,3,3,0,9,1,1,0.25,0.25
Session_ID_22,0,18,11.0,1,2.0,0,0,4,0,5,1,1,0.0,0.2631578947368421
Session_ID_23,0,6,2.0,0,1.0,0,1,0,0,2,0,1,0.0,0.2857142857142857
Session_ID_24,1,6,1.0,0,0.0,0,1,2,0,2,0,1,0.0,0.2857142857142857
Session_ID_25,0,14,6.0,0,0.0,0,1,5,0,2,1,1,0.0,0.13333333333333333
Session_ID_26,1,24,13.0,0,2.0,2,0,6,0,0,1,0,2.0,0.0
Session_ID_27,0,14,5.0,0,1.0,1,1,0,1,2,1,0,0.5,0.13333333333333333
Session_ID_28,0,30,3.0,0,11.0,2,4,2,0,8,1,0,0.4,0.25806451612903225
Session_ID_29,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_30,0,7,4.0,0,1.0,0,0,1,0,0,1,1,0.0,0.0
Session_ID_31,1,13,8.0,0,2.0,0,0,2,0,0,1,1,0.0,0.0
Session_ID_32,0,16,6.0,0,2.0,0,2,2,0,4,1,1,0.0,0.23529411764705882
Session_ID_33,1,6,2.0,0,2.0,0,1,0,0,1,0,1,0.0,0.14285714285714285
Session_ID_34,0,6,0.0,0,2.0,0,1,0,0,2,0,1,0.0,0.2857142857142857
Session_ID_35,1,20,0.0,0,0.0,0,0,1,0,1,0,1,0.0,0.047619047619047616
Session_ID_36,0,12,7.0,0,1.0,0,1,1,0,2,1,1,0.0,0.15384615384615385
Session_ID_37,0,23,14.0,0,2.0,1,1,1,1,1,1,1,0.5,0.041666666666666664
